Date,Opening Price,Maximum Price,Minimum Price,Closing Price
26.09.2018,114940,115000,114940,114980
26.09.2018,114970,114970,114890,114950
26.09.2018,114950,114980,114930,114980
26.09.2018,114980,114980,114900,114920
26.09.2018,114900,114960,114880,114900
26.09.2018,114910,114910,114830,114880
26.09.2018,114880,114940,114870,114940
26.09.2018,114930,115040,114930,115020
26.09.2018,115020,115080,115020,115040
26.09.2018,115050,115130,115040,115080
26.09.2018,115100,115120,115080,115120
26.09.2018,115120,115130,114980,114990
26.09.2018,115000,115010,114870,114940
26.09.2018,114930,114940,114790,114830
26.09.2018,114830,114890,114780,114890
26.09.2018,114890,114950,114850,114930
26.09.2018,114930,114950,114900,114930
26.09.2018,114930,114970,114890,114920
26.09.2018,114910,114930,114880,114890
26.09.2018,114900,114960,114860,114930
26.09.2018,114930,114980,114910,114950
26.09.2018,114950,114970,114920,114960
26.09.2018,114960,114980,114950,114980
26.09.2018,114970,115000,114940,114970
26.09.2018,114970,114970,114920,114960
26.09.2018,114970,115010,114960,115010
26.09.2018,115010,115050,115000,115050
26.09.2018,115050,115050,114980,115000
26.09.2018,115000,115030,114990,115020
26.09.2018,115020,115040,114970,115040
26.09.2018,115040,115060,114990,115040
26.09.2018,115040,115070,115020,115030
26.09.2018,115040,115060,115020,115020
26.09.2018,115040,115050,115020,115050
26.09.2018,115030,115040,114960,114970
26.09.2018,114970,114980,114940,114970
26.09.2018,114960,114970,114920,114940
26.09.2018,114940,114950,114920,114950
26.09.2018,114950,114970,114940,114970
26.09.2018,114960,114970,114940,114970
26.09.2018,114970,114980,114910,114940
26.09.2018,114930,114930,114900,114900
26.09.2018,114910,114930,114880,114930
26.09.2018,114930,114950,114910,114920
26.09.2018,114920,114920,114840,114850
26.09.2018,114860,114890,114850,114860
26.09.2018,114860,114870,114790,114790
26.09.2018,114790,114800,114730,114800
26.09.2018,114810,114830,114800,114810
26.09.2018,114810,114850,114790,114800
26.09.2018,114800,114830,114760,114810
26.09.2018,114810,114850,114800,114850
26.09.2018,114840,114850,114810,114850
26.09.2018,114850,114860,114800,114850
26.09.2018,114840,114880,114810,114810
26.09.2018,114820,114840,114810,114810
26.09.2018,114820,114840,114810,114820
26.09.2018,114840,114850,114810,114820
26.09.2018,114810,114820,114780,114800
26.09.2018,114800,114800,114720,114770
26.09.2018,114780,114800,114780,114790
26.09.2018,114790,114800,114770,114780
26.09.2018,114800,114800,114780,114800
26.09.2018,114800,114850,114790,114850
26.09.2018,114840,114850,114820,114840
26.09.2018,114830,114840,114740,114790
26.09.2018,114780,114800,114760,114760
26.09.2018,114760,114770,114710,114710
26.09.2018,114710,114740,114670,114730
26.09.2018,114720,114760,114700,114730
26.09.2018,114720,114730,114680,114720
26.09.2018,114720,114770,114700,114750
26.09.2018,114740,114750,114720,114740
26.09.2018,114740,114780,114720,114750
26.09.2018,114750,114790,114740,114750
26.09.2018,114750,114750,114670,114720
26.09.2018,114720,114720,114680,114720
26.09.2018,114720,114740,114710,114730
26.09.2018,114740,114750,114730,114730
